Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,2025-09-04,Lincoln Financial Field,PHI,DAL,
2,1,2025-09-05,Arena Corinthians,LAC,KAN,
3,1,2025-09-07,Mercedes-Benz Stadium,ATL,TAM,
4,1,2025-09-07,Huntington Bank Field,CLE,CIN,
5,1,2025-09-07,Lucas Oil Stadium,IND,MIA,
6,1,2025-09-07,EverBank Stadium,JAX,CAR,
7,1,2025-09-07,Gillette Stadium,NWE,LVR,
8,1,2025-09-07,Caesars Superdome,NOR,ARI,
9,1,2025-09-07,MetLife Stadium,NYJ,PIT,
10,1,2025-09-07,Northwest Stadium,WAS,NYG,
11,1,2025-09-07,Empower Field at Mile High,DEN,TEN,
12,1,2025-09-07,Lumen Field,SEA,SFO,
13,1,2025-09-07,Lambeau Field,GNB,DET,
14,1,2025-09-07,SoFi Stadium,LAR,HOU,
15,1,2025-09-07,Highmark Stadium,BUF,BAL,
16,1,2025-09-08,Soldier Field,CHI,MIN,
17,2,2025-09-11,Lambeau Field,GNB,WAS,
18,2,2025-09-14,M&T Bank Stadium,BAL,CLE,
19,2,2025-09-14,Paycor Stadium,CIN,JAX,
20,2,2025-09-14,AT&T Stadium,DAL,NYG,
21,2,2025-09-14,Ford Field,DET,CHI,
22,2,2025-09-14,Hard Rock Stadium,MIA,NWE,
23,2,2025-09-14,Caesars Superdome,NOR,SFO,
24,2,2025-09-14,MetLife Stadium,NYJ,BUF,
25,2,2025-09-14,Acrisure Stadium,PIT,SEA,
26,2,2025-09-14,Nissan Stadium,TEN,LAR,
27,2,2025-09-14,State Farm Stadium,ARI,CAR,
28,2,2025-09-14,Lucas Oil Stadium,IND,DEN,
29,2,2025-09-14,GEHA Field at Arrowhead Stadium,KAN,PHI,
30,2,2025-09-14,U.S. Bank Stadium,MIN,ATL,
31,2,2025-09-15,NRG Stadium,HOU,TAM,
32,2,2025-09-15,Allegiant Stadium,LVR,LAC,
33,3,2025-09-18,Highmark Stadium,BUF,MIA,
34,3,2025-09-21,Bank of America Stadium,CAR,ATL,
35,3,2025-09-21,Huntington Bank Field,CLE,GNB,
36,3,2025-09-21,EverBank Stadium,JAX,HOU,
37,3,2025-09-21,U.S. Bank Stadium,MIN,CIN,
38,3,2025-09-21,Gillette Stadium,NWE,PIT,
39,3,2025-09-21,Lincoln Financial Field,PHI,LAR,
40,3,2025-09-21,Raymond James Stadium,TAM,NYJ,
41,3,2025-09-21,Nissan Stadium,TEN,IND,
42,3,2025-09-21,Northwest Stadium,WAS,LVR,
43,3,2025-09-21,SoFi Stadium,LAC,DEN,
44,3,2025-09-21,Lumen Field,SEA,NOR,
45,3,2025-09-21,Soldier Field,CHI,DAL,
46,3,2025-09-21,Levi's Stadium,SFO,ARI,
47,3,2025-09-21,MetLife Stadium,NYG,KAN,
48,3,2025-09-22,M&T Bank Stadium,BAL,DET,
49,4,2025-09-25,State Farm Stadium,ARI,SEA,
50,4,2025-09-28,Croke Park,PIT,MIN,
51,4,2025-09-28,Mercedes-Benz Stadium,ATL,WAS,
52,4,2025-09-28,Highmark Stadium,BUF,NOR,
53,4,2025-09-28,Ford Field,DET,CLE,
54,4,2025-09-28,NRG Stadium,HOU,TEN,
55,4,2025-09-28,Gillette Stadium,NWE,CAR,
56,4,2025-09-28,MetLife Stadium,NYG,LAC,
57,4,2025-09-28,Raymond James Stadium,TAM,PHI,
58,4,2025-09-28,SoFi Stadium,LAR,IND,
59,4,2025-09-28,Levi's Stadium,SFO,JAX,
60,4,2025-09-28,GEHA Field at Arrowhead Stadium,KAN,BAL,
61,4,2025-09-28,Allegiant Stadium,LVR,CHI,
62,4,2025-09-28,AT&T Stadium,DAL,GNB,
63,4,2025-09-29,Hard Rock Stadium,MIA,NYJ,
64,4,2025-09-29,Empower Field at Mile High,DEN,CIN,
65,5,2025-10-02,SoFi Stadium,LAR,SFO,
66,5,2025-10-05,Tottenham Hotspur Stadium,CLE,MIN,
67,5,2025-10-05,M&T Bank Stadium,BAL,HOU,
68,5,2025-10-05,Bank of America Stadium,CAR,MIA,
69,5,2025-10-05,Lucas Oil Stadium,IND,LVR,
70,5,2025-10-05,Caesars Superdome,NOR,NYG,
71,5,2025-10-05,MetLife Stadium,NYJ,DAL,
72,5,2025-10-05,Lincoln Financial Field,PHI,DEN,
73,5,2025-10-05,State Farm Stadium,ARI,TEN,
74,5,2025-10-05,Lumen Field,SEA,TAM,
75,5,2025-10-05,Paycor Stadium,CIN,DET,
76,5,2025-10-05,SoFi Stadium,LAC,WAS,
77,5,2025-10-05,Highmark Stadium,BUF,NWE,
78,5,2025-10-06,EverBank Stadium,JAX,KAN,
79,6,2025-10-09,MetLife Stadium,NYG,PHI,
80,6,2025-10-12,Tottenham Hotspur Stadium,NYJ,DEN,
81,6,2025-10-12,M&T Bank Stadium,BAL,LAR,
82,6,2025-10-12,Bank of America Stadium,CAR,DAL,
83,6,2025-10-12,Lucas Oil Stadium,IND,ARI,
84,6,2025-10-12,EverBank Stadium,JAX,SEA,
85,6,2025-10-12,Hard Rock Stadium,MIA,LAC,
86,6,2025-10-12,Acrisure Stadium,PIT,CLE,
87,6,2025-10-12,Raymond James Stadium,TAM,SFO,
88,6,2025-10-12,Allegiant Stadium,LVR,TEN,
89,6,2025-10-12,Lambeau Field,GNB,CIN,
90,6,2025-10-12,Caesars Superdome,NOR,NWE,
91,6,2025-10-12,GEHA Field at Arrowhead Stadium,KAN,DET,
92,6,2025-10-13,Mercedes-Benz Stadium,ATL,BUF,
93,6,2025-10-13,Northwest Stadium,WAS,CHI,
94,7,2025-10-16,Paycor Stadium,CIN,PIT,
