odds_name,projection_name,confidence
AJ Barner,AJ Barner,
AJ Dillon,AJ Dillon,
Aaron Jones,Aaron Jones,
Aaron Rodgers,Aaron Rodgers,
Adam Thielen,Adam Thielen,
Adam Trautman,Adam Trautman,
Adonai Mitchell,Adonai Mitchell,
Alec Ingold,Alec Ingold,
Alec Pierce,Alec Pierce,
Allen Lazard,Allen Lazard,
Alvin Kamara,Alvin Kamara,
Amari Cooper,Amari Cooper,
Amon-Ra St. Brown,Amon-Ra St. Brown,
Andrei Iosivas,Andrei Iosivas,
Anthony Gould,Anthony Gould,
Antonio Gibson,Antonio Gibson,
Ashton Dulin,Ashton Dulin,
Austin Ekeler,Austin Ekeler,
Austin Hooper,Austin Hooper,
Austin Trammell,Austin Trammell,
Baker Mayfield,Baker Mayfield,
Ben Sims,Ben Sims,
Ben Sinnott,Ben Sinnott,
Ben Skowronek,Ben Skowronek,
Ben VanSumeren,Ben VanSumeren,
Bijan Robinson,Bijan Robinson,
Blake Corum,Blake Corum,
Blake Whiteheart,Blake Whiteheart,
Bo Nix,Bo Nix,
Braelon Allen,Braelon Allen,
Brandin Cooks,Brandin Cooks,
Braxton Berrios,Braxton Berrios,
Breece Hall,Breece Hall,
Brenton Strange,Brenton Strange,
Brevyn Spann-Ford,Brevyn Spann-Ford,
Brian Robinson Jr.,Brian Robinson Jr.,
Brock Bowers,Brock Bowers,
Brock Purdy,Brock Purdy,
Brock Wright,Brock Wright,
Bryce Young,Bryce Young,
Bucky Irving,Bucky Irving,
C.J. Stroud,C.J. Stroud,
Cade Stover,Cade Stover,
Caleb Williams,Caleb Williams,
Calvin Austin III,Calvin Austin III,
Calvin Ridley,Calvin Ridley,
Cam Grandy,Cam Grandy,
Casey Washington,Casey Washington,
Cedric Tillman,Cedric Tillman,
CeeDee Lamb,CeeDee Lamb,
Charlie Jones,Charlie Jones,
Charlie Kolar,Charlie Kolar,
Charlie Woerner,Charlie Woerner,
Chase Brown,Chase Brown,
Chigoziem Okonkwo,Chigoziem Okonkwo,
Chris Brooks,Chris Brooks,
Chris Manhertz,Chris Manhertz,
Chris Olave,Chris Olave,
Christian Kirk,Christian Kirk,
Christian McCaffrey,Christian McCaffrey,
Chuba Hubbard,Chuba Hubbard,
Cody White,Cody White,
Colby Parkinson,Colby Parkinson,
Cole Kmet,Cole Kmet,
Connor Heyward,Connor Heyward,
Cooper Kupp,Cooper Kupp,
Cooper Rush,Cooper Rush,
Courtland Sutton,Courtland Sutton,
Craig Reynolds,Craig Reynolds,
Curtis Samuel,Curtis Samuel,
D'Andre Swift,D'Andre Swift,
Dak Prescott,Dak Prescott,
Dallas Goedert,Dallas Goedert,
Dalton Kincaid,Dalton Kincaid,
Dalton Schultz,Dalton Schultz,
Dameon Pierce,Dameon Pierce,
Daniel Bellinger,Daniel Bellinger,
Daniel Jones,Daniel Jones,
Dare Ogunbowale,Dare Ogunbowale,
Dareke Young,Dareke Young,
Darius Slayton,Darius Slayton,
Darnell Mooney,Darnell Mooney,
Darnell Washington,Darnell Washington,
Darren Waller,Darren Waller,
Davante Adams,Davante Adams,
David Martin-Robinson,David Martin-Robinson,
David Montgomery,David Montgomery,
David Moore,David Moore,
David Njoku,David Njoku,
Davis Allen,Davis Allen,
Dawson Knox,Dawson Knox,
De'Von Achane,De'Von Achane,
DeAndre Carter,DeAndre Carter,
DeAndre Hopkins,DeAndre Hopkins,
DeMario Douglas,Demario Douglas,
DeVonta Smith,DeVonta Smith,
Derius Davis,Derius Davis,
Derrick Henry,Derrick Henry,
Devaughn Vele,Devaughn Vele,
Devin Culp,Devin Culp,
Devin Duvernay,Devin Duvernay,
Devin Singletary,Devin Singletary,
Devontez Walker,Devontez Walker,
Dontayvion Wicks,Dontayvion Wicks,
Drake London,Drake London,
Drake Maye,Drake Maye,
Drew Sample,Drew Sample,
Durham Smythe,Durham Smythe,
Dyami Brown,Dyami Brown,
Dylan Laube,Dylan Laube,
Elijah Higgins,Elijah Higgins,
Elijah Mitchell,Elijah Mitchell,
Elijah Moore,Elijah Moore,
Emanuel Wilson,Emanuel Wilson,
Emari Demercado,Emari Demercado,
Eric Saubert,Eric Saubert,
Evan Engram,Evan Engram,
Feleipe Franks,Feleipe Franks,
Garrett Wilson,Garrett Wilson,
Geno Smith,Geno Smith,
George Holani,George Holani,
George Kittle,George Kittle,
George Pickens,George Pickens,
Grant Calcaterra,Grant Calcaterra,
Greg Dortch,Greg Dortch,
Hassan Haskins,Hassan Haskins,
Hunter Henry,Hunter Henry,
Hunter Long,Hunter Long,
Hunter Luepke,Hunter Luepke,
Hunter Renfrow,Hunter Renfrow,
Ian Thomas,Ian Thomas,
Isaac Guerendo,Isaac Guerendo,
Isaiah Davis,Isaiah Davis,
Isiah Pacheco,Isiah Pacheco,
J.K. Dobbins,J.K. Dobbins,
Ja'Marr Chase,Ja'Marr Chase,
Ja'Tavion Sanders,Ja'Tavion Sanders,
Jahan Dotson,Jahan Dotson,
Jahmyr Gibbs,Jahmyr Gibbs,
Jake Bobo,Jake Bobo,
Jake Ferguson,Jake Ferguson,
Jakobi Meyers,Jakobi Meyers,
Jaleel McLaughlin,Jaleel McLaughlin,
Jalen Hurts,Jalen Hurts,
Jalen Nailor,Jalen Nailor,
Jalen Tolbert,Jalen Tolbert,
Jalin Hyatt,Jalin Hyatt,
Jamal Agnew,Jamal Agnew,
Jamari Thrash,Jamari Thrash,
James Conner,James Conner,
James Cook,James Cook,
Jameson Williams,Jameson Williams,
Jared Goff,Jared Goff,
Jared Wiley,Jared Wiley,
Jauan Jennings,Jauan Jennings,
Javonte Williams,Javonte Williams,
Jaxon Smith-Njigba,Jaxon Smith-Njigba,
Jayden Daniels,Jayden Daniels,
Jayden Reed,Jayden Reed,
Jaylen Waddle,Jaylen Waddle,
Jaylen Warren,Jaylen Warren,
Jeremy McNichols,Jeremy McNichols,
Jeremy Ruckert,Jeremy Ruckert,
Jermaine Burton,Jermaine Burton,
Jerome Ford,Jerome Ford,
Jerry Jeudy,Jerry Jeudy,
Joe Burrow,Joe Burrow,
Joe Flacco,Joe Flacco,
John Bates,John Bates,
John FitzPatrick,John FitzPatrick,
Johnny Mundt,Johnny Mundt,
Jonathan Taylor,Jonathan Taylor,
Jonnu Smith,Jonnu Smith,
Jordan Love,Jordan Love,
Jordan Mason,Jordan Mason,
Jordan Whittington,Jordan Whittington,
Josh Allen,Josh Allen,
Josh Downs,Josh Downs,
Josh Jacobs,Josh Jacobs,
Josh Oliver,Josh Oliver,
Josh Reynolds,Josh Reynolds,
JuJu Smith-Schuster,JuJu Smith-Schuster,
Julian Hill,Julian Hill,
Julius Chestnut,Julius Chestnut,
Justice Hill,Justice Hill,
Justin Fields,Justin Fields,
Justin Herbert,Justin Herbert,
Justin Jefferson,Justin Jefferson,
Justin Watson,Justin Watson,
Juwan Johnson,Juwan Johnson,
KaVontae Turpin,KaVontae Turpin,
Kalif Raymond,Kalif Raymond,
Kameron Johnson,Kameron Johnson,
Kareem Hunt,Kareem Hunt,
Kayshon Boutte,Kayshon Boutte,
Keaton Mitchell,Keaton Mitchell,
Keenan Allen,Keenan Allen,
Kendre Miller,Kendre Miller,
Kenneth Gainwell,Kenneth Gainwell,
Kenneth Walker III,Kenneth Walker III,
Keon Coleman,Keon Coleman,
KhaDarel Hodge,KhaDarel Hodge,
Khalil Shakir,Khalil Shakir,
Ko Kieft,Ko Kieft,
Kyle Juszczyk,Kyle Juszczyk,
Kyle Pitts,Kyle Pitts,
Kylen Granson,Kylen Granson,
Kyler Murray,Kyler Murray,
Kyren Williams,Kyren Williams,
Ladd McConkey,Ladd McConkey,
Lamar Jackson,Lamar Jackson,
Lucas Krull,Lucas Krull,
Luke Farrell,Luke Farrell,
Luke McCaffrey,Luke McCaffrey,
Luke Musgrave,Luke Musgrave,
Luke Schoonmaker,Luke Schoonmaker,
Mack Hollins,Mack Hollins,
Malik Heath,Malik Heath,
Malik Nabers,Malik Nabers,
Malik Washington,Malik Washington,
Mark Andrews,Mark Andrews,
Marquise Brown,Marquise Brown,
Marvin Harrison Jr.,Marvin Harrison Jr.,
Mason Tipton,Mason Tipton,
Matthew Stafford,Matthew Stafford,
Michael Mayer,Michael Mayer,
Michael Pittman Jr.,Michael Pittman Jr.,
Michael Wilson,Michael Wilson,
Mike Evans,Mike Evans,
Mike Gesicki,Mike Gesicki,
Miles Sanders,Miles Sanders,
Mo Alie-Cox,Mo Alie-Cox,
Najee Harris,Najee Harris,
Nate Adkins,Nate Adkins,
Nick Chubb,Nick Chubb,
Nick Westbrook-Ikhine,Nick Westbrook-Ikhine,
