name,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
A.J. Brown,PHI,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.46,0.69,11.12,0.07,0.0,13,0.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,5.17,81.24,0.49,0.0,0.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,5.17,81.24,0.49,0.0
AJ Barner,SEA,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.71,0.79,6.45,0.11,0.0,14,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,2.13,17.57,0.32,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,2.13,17.57,0.32,0.0
Aaron Rodgers,NYJ,0.63,34.35,6.67,0.05,0.02,40,1.29,4.86,0.0,0.0,0.0,0.0,0.0,0.23,17,34.18,1.29,0.0,230.01,1.68,0.65,6.38,0.0,0.0,0.0,0.0,0.29,34.18,1.29,0.0,230.01,1.68,0.65,6.38,0.0,0.0,0.0,0.0,0.29
Adam Trautman,DEN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.69,0.59,8.55,0.09,0.0,13,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.98,14.24,0.15,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.98,14.24,0.15,0.0
Adonai Mitchell,IND,1.0,0.06,24.0,0.0,0.0,0,0.24,1.5,0.0,3.24,0.42,5.67,0.0,0.03,17,0.06,0.24,3.25,1.44,0.0,0.0,0.37,0.0,1.38,18.41,0.0,0.11,0.06,0.24,3.25,1.44,0.0,0.0,0.37,0.0,1.38,18.41,0.0,0.11
Aidan O'Connell,LVR,0.63,27.0,6.63,0.03,0.02,10,2.33,1.43,0.05,0.0,0.0,0.0,0.0,0.1,9,26.09,2.39,0.0,173.53,0.79,0.54,3.47,0.13,0.0,0.0,0.0,0.27,26.09,2.39,0.0,173.53,0.79,0.54,3.47,0.13,0.0,0.0,0.0,0.27
Alec Ingold,MIA,0.0,0.0,0.0,0.0,0.0,0,1.11,1.7,0.1,1.33,0.92,8.0,0.0,0.09,9,0.0,1.07,1.37,0.0,0.0,0.0,1.83,0.11,1.25,10.91,0.0,0.21,0.0,1.07,1.37,0.0,0.0,0.0,1.83,0.11,1.25,10.91,0.0,0.21
Alec Pierce,IND,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.31,0.54,11.94,0.1,0.0,16,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,2.35,51.58,0.44,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,2.35,51.58,0.44,0.0
Alexander Mattison,LVR,0.0,0.0,0.0,0.0,0.0,0,9.43,3.18,0.03,3.43,0.75,6.12,0.02,0.01,14,0.0,9.66,3.31,0.0,0.0,0.0,31.22,0.32,2.49,20.35,0.07,0.15,0.0,9.66,3.31,0.0,0.0,0.0,31.22,0.32,2.49,20.35,0.07,0.15
Allen Lazard,NYJ,0.0,0.08,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,0.62,8.83,0.1,0.0,12,0.08,0.0,4.98,0.0,0.0,0.0,0.0,0.0,3.07,44.32,0.49,0.0,0.08,0.0,4.98,0.0,0.0,0.0,0.0,0.0,3.07,44.32,0.49,0.0
Alvin Kamara,NOR,0.0,0.0,0.0,0.0,0.0,0,16.29,4.17,0.03,6.36,0.76,6.1,0.02,0.0,14,0.0,16.13,6.37,0.0,0.0,0.0,66.32,0.52,4.77,38.73,0.12,0.0,0.0,16.13,6.37,0.0,0.0,0.0,66.32,0.52,4.77,38.73,0.12,0.0
Amon-Ra St. Brown,DET,1.0,0.06,7.0,1.0,0.0,0,0.12,3.0,0.0,8.29,0.82,8.96,0.09,0.01,17,0.06,0.12,8.3,0.41,0.06,0.0,0.36,0.0,6.72,73.06,0.75,0.08,0.06,0.12,8.3,0.41,0.06,0.0,0.36,0.0,6.72,73.06,0.75,0.08
Andrei Iosivas,CIN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.59,0.59,7.85,0.1,0.0,17,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,2.16,28.56,0.35,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,2.16,28.56,0.35,0.0
Andrew Beck,GNB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,HOU,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Ogletree,IND,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.27,0.64,7.79,0.07,0.0,11,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.82,9.92,0.09,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.82,9.92,0.09,0.0
