name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
A.J. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.68,9.1,0.07,0.0,10,PHI,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,2.69,35.57,0.28,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,2.38,30.37,0.18,0.0
AJ Barner,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.0,0.0,1.35,0.66,4.03,0.12,0.0,8,SEA,0.0,0.13,1.48,0.0,0.0,0.0,0.25,0.0,0.95,5.91,0.19,0.0,0.0,0.17,1.92,0.0,0.0,0.0,0.36,0.0,1.14,6.74,0.19,0.0
AJ Dillon,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,1,PHI,0.0,2.94,0.0,0.0,0.0,0.0,8.97,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0
Aaron Jones,0.0,0.0,0.0,0.0,0.0,0.0,7.49,4.17,0.02,1.97,0.78,6.61,0.08,0.02,10,MIN,0.0,7.07,2.03,0.0,0.0,0.0,30.08,0.14,1.57,13.02,0.16,0.21,0.0,5.46,1.7,0.0,0.0,0.0,25.91,0.11,1.35,11.15,0.17,0.0
Aaron Rodgers,0.65,18.07,7.1,0.06,0.01,13.6,0.82,5.45,0.0,0.0,0.0,0.0,0.0,0.18,9,PIT,17.29,0.79,0.0,124.93,0.99,0.17,4.35,0.0,0.0,0.0,0.0,0.12,21.34,0.94,0.0,158.69,1.2,0.18,4.88,0.0,0.0,0.0,0.0,0.0
Adam Thielen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.77,10.33,0.11,0.0,7,MIN,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,3.29,43.27,0.46,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,2.83,37.06,0.48,0.0
Adam Trautman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.62,4.6,0.09,0.0,9,DEN,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.53,3.99,0.07,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.43,3.03,0.07,0.0
Adonai Mitchell,0.0,0.0,0.0,0.0,0.0,0.0,0.11,-6.4,0.0,1.48,0.5,7.51,0.0,0.06,9,IND,0.0,0.1,1.38,0.0,0.0,0.0,-0.7,0.0,0.69,10.06,0.0,0.09,0.0,0.14,1.38,0.0,0.0,0.0,-0.99,0.0,0.68,9.17,0.0,0.0
Aidan O'Connell,0.61,22.7,7.22,0.03,0.01,4.6,3.1,0.99,0.05,0.0,0.0,0.0,0.0,0.09,4,LVR,20.86,3.24,0.0,152.68,0.68,0.22,3.28,0.19,0.0,0.0,0.0,0.32,15.47,2.48,0.0,102.41,0.49,0.16,2.77,0.19,0.0,0.0,0.0,0.01
Alec Ingold,0.0,0.0,0.0,0.0,0.0,0.0,0.27,4.0,0.0,1.0,0.67,2.83,0.0,0.0,3,MIA,0.0,0.27,0.98,0.0,0.0,0.0,1.14,0.0,0.64,2.76,0.0,0.0,0.0,0.21,0.85,0.0,0.0,0.0,0.88,0.0,0.58,2.57,0.0,0.0
Alec Pierce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.46,9.9,0.07,0.0,8,IND,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.14,24.01,0.17,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,1.13,21.88,0.18,0.0
Alexander Mattison,0.0,0.0,0.0,0.0,0.0,0.0,5.18,2.87,0.03,2.4,0.53,3.81,0.0,0.02,5,MIA,0.0,5.18,2.35,0.0,0.0,0.0,15.68,0.17,1.22,8.9,0.0,0.16,0.0,4.01,2.04,0.0,0.0,0.0,12.13,0.14,1.1,8.3,0.0,0.0
Allen Lazard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.31,3.46,0.0,0.0,4,NYJ,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.8,8.88,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.68,7.52,0.0,0.0
Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,6.76,3.86,0.02,2.11,0.85,6.79,0.05,0.0,7,NOR,0.0,6.33,1.99,0.0,0.0,0.0,24.07,0.15,1.75,14.05,0.1,0.0,0.0,7.79,2.37,0.0,0.0,0.0,26.16,0.06,2.1,15.81,0.11,0.0
Amon-Ra St. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.09,5.33,0.0,4.95,0.79,8.95,0.07,0.01,10,DET,0.0,0.09,5.32,0.0,0.0,0.0,0.53,0.0,4.07,44.76,0.35,0.06,0.0,0.1,6.2,0.0,0.0,0.0,0.62,0.0,4.67,52.77,0.34,0.0
Andrei Iosivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.7,10.17,0.09,0.0,8,CIN,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,1.36,19.84,0.17,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,1.19,17.42,0.11,0.0
