name,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_rush_yd,proj_rec_yd,proj_pass_td,proj_rush_td,proj_rec_td,proj_int,proj_fum,team,games_played,fantasy_points
A.J. Brown,0.0,0.0,121.87,0.0,0.0,1118.72,0.0,0.0,8.06,0.0,0.0,PHI,18,160.23200000000003
AJ Barner,0.0,3.98,44.51,0.0,8.37,180.1,0.0,0.0,6.26,0.0,0.0,SEA,18,56.407000000000004
AJ Dillon,0.0,45.73,0.0,0.0,140.34,0.0,0.0,0.0,0.0,0.0,0.0,PHI,17,14.034
Aaron Jones,0.0,226.17,66.3,0.0,933.52,411.67,0.0,4.87,5.07,0.0,0.53,MIN,18,193.099
Aaron Rodgers,583.53,25.5,0.0,4270.96,137.54,0.0,34.29,0.0,0.0,7.3,0.27,PIT,18,306.6123999999999
Adam Thielen,0.0,0.0,111.93,0.0,0.0,1103.57,0.0,0.0,12.44,0.0,0.0,MIN,18,184.997
Adam Trautman,0.0,0.0,27.93,0.0,0.0,127.69,0.0,0.0,2.31,0.0,0.0,DEN,18,26.628999999999998
Adonai Mitchell,0.0,3.67,47.21,0.0,-24.21,344.31,0.0,0.0,0.0,0.0,0.17,IND,18,31.670000000000005
Aidan O'Connell,542.48,88.55,0.0,3971.55,90.82,0.0,16.61,5.47,0.0,7.35,0.65,LVR,18,251.204
Alec Ingold,0.0,6.7299999999999995,23.07,0.0,28.41,67.73,0.0,0.0,0.0,0.0,0.0,MIA,18,9.614
Alec Pierce,0.0,0.0,91.27,0.0,0.0,877.79,0.0,0.0,6.5,0.0,0.0,IND,18,126.779
Alexander Mattison,0.0,171.23,77.6,0.0,519.0,292.04,0.0,5.73,0.0,0.0,0.36,MIA,18,114.76400000000001
Allen Lazard,0.0,0.0,62.629999999999995,0.0,0.0,213.97,0.0,0.0,0.0,0.0,0.0,NYJ,18,21.397000000000002
Alvin Kamara,0.0,252.19,81.25,0.0,958.98,556.97,0.0,4.29,4.23,0.0,0.0,NOR,18,202.71500000000003
Amon-Ra St. Brown,0.0,2.75,165.84,0.0,14.89,1418.45,0.0,0.0,10.36,0.0,0.1,DET,18,205.294
Andrei Iosivas,0.0,0.0,71.54,0.0,0.0,734.39,0.0,0.0,5.74,0.0,0.0,CIN,18,107.879
Andrew Beck,0.0,0.0,18.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,18,0.0
Andrew Ogletree,0.0,0.0,21.35,0.0,0.0,106.11,0.0,0.0,0.0,0.0,0.0,IND,18,10.611
Anthony Gould,0.0,0.0,17.35,0.0,0.0,388.42,0.0,0.0,0.0,0.0,0.0,IND,18,38.842000000000006
Anthony Richardson,434.84000000000003,156.6,4.49,2691.6,1013.7,-4.38,13.03,15.54,0.0,24.08,0.48,IND,18,304.83600000000007
Antonio Gibson,0.0,123.00999999999999,23.330000000000002,0.0,587.16,136.1,0.0,2.83,0.0,0.0,0.18,NWE,18,88.946
Ashton Dulin,0.0,14.56,6.67,0.0,194.88,0.0,0.0,0.0,0.0,0.0,0.0,IND,18,19.488
Ashton Jeanty,0.0,357.1,31.4,0.0,736.91,31.98,0.0,22.72,0.0,0.0,0.0,LVR,17,213.209
Austin Ekeler,0.0,114.33,73.41,0.0,398.71999999999997,626.46,0.0,4.19,0.0,0.0,0.31,WAS,18,127.038
Austin Hooper,0.0,0.0,59.95,0.0,0.0,637.65,0.0,0.0,3.65,0.0,0.11,NWE,18,85.445
Baker Mayfield,611.54,49.46,0.0,5009.83,363.76,0.0,49.59,1.46,0.0,12.7,0.8600000000000001,TAM,18,416.7692
Ben Sims,0.0,0.0,15.76,0.0,0.0,31.759999999999998,0.0,0.0,0.0,0.0,0.0,GNB,18,3.176
Ben Sinnott,0.0,0.0,18.84,0.0,0.0,114.56,0.0,0.0,0.0,0.0,0.0,WAS,18,11.456000000000001
Ben Skowronek,0.0,0.0,22.75,0.0,0.0,379.31,0.0,0.0,5.13,0.0,0.0,PIT,18,68.71100000000001
Ben VanSumeren,0.0,0.0,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,18,0.0
Bhayshul Tuten,0.0,48.06,0.0,0.0,174.13,0.0,0.0,0.0,0.0,0.0,0.0,JAX,17,17.413
