team,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_rush_yd,proj_rec_yd,proj_pass_td,proj_rush_td,proj_rec_td,proj_int,proj_fum,total_games
ARI,622.27,415.86,591.28,3936.06,2391.05,4122.38,18.85,17.01,17.19,19.65,0.77,216
ATL,1118.59,609.01,708.23,7942.01,2356.17,4755.09,16.55,26.73,8.72,42.12,2.84,216
BAL,1046.03,864.88,615.74,8338.03,4184.6,5858.6,75.23,25.35,65.8,14.19,1.8900000000000001,270
BUF,612.06,631.19,755.24,5324.68,2704.48,6821.01,41.25,38.47,47.980000000000004,6.29,0.67,269
CAR,605.86,779.8199999999999,801.4,3851.51,3532.68,4881.96,26.62,21.85,20.6,11.6,1.26,213
CHI,595.92,431.45,606.86,3735.75,1828.92,4015.33,25.99,9.84,24.98,0.34,1.56,231
CIN,699.85,408.69,956.02,5412.139999999999,1534.85,7338.95,44.04,9.69,46.56,5.970000000000001,1.08,252
CLE,708.33,457.97,869.01,5323.02,1410.43,6022.01,28.53,25.62,22.15,33.52,1.0899999999999999,212
DAL,584.35,245.9,738.52,3355.6,1465.59,4899.97,0.8,10.33,19.99,0.0,0.9700000000000001,216
DEN,629.6700000000001,662.63,726.36,3863.06,3679.96,4213.09,34.91,21.09,35.49,18.07,1.46,250
DET,698.8,598.61,766.13,5382.28,2426.11,6414.39,43.660000000000004,24.18,51.49,6.69,0.32999999999999996,233
GNB,432.55,564.75,504.91,3818.79,2290.16,4142.78,26.84,37.37,40.14,0.0,0.69,286
HOU,531.54,379.48,522.47,3365.71,1484.8,3827.85,16.26,3.48,25.36,15.610000000000001,0.63,249
IND,958.4399999999999,984.57,640.21,6865.36,4795.16,5085.39,28.39,58.5,21.17,30.97,1.15,268
JAX,425.18,526.7,739.06,2459.1800000000003,2132.11,5171.37,12.36,10.65,38.09,16.52,0.6200000000000001,249
KAN,1390.1299999999999,465.24,701.46,8714.81,1925.86,4543.2699999999995,46.79,16.0,21.3,14.46,0.9299999999999999,196
LAC,573.49,643.07,714.32,4313.19,2259.72,5604.03,31.62,6.62,45.75,9.73,0.81,249
LAR,510.2,523.29,590.88,3791.88,2042.17,5024.38,19.68,18.78,29.98,4.78,0.75,197
LVR,1290.98,742.44,596.9399999999999,9928.33,1622.19,4965.87,44.46,41.42,13.81,34.49,2.19,231
MIA,788.66,542.75,751.8100000000001,4770.55,1906.96,4706.17,33.3,13.52,27.52,16.23,1.75,249
MIN,0.38,438.4,558.72,8.2,1807.17,4627.66,0.0,4.87,39.61,0.0,0.84,144
NOR,723.14,597.1899999999999,985.62,3919.4,2852.28,5806.31,6.82,22.23,25.17,26.18,1.54,268
NWE,1056.82,572.85,775.09,6862.53,2629.29,5345.42,25.1,31.26,26.88,14.29,2.51,249
NYG,1204.16,445.45,703.73,8136.2,1477.86,4491.27,41.17,11.66,18.22,49.32,2.16,233
NYJ,396.67,519.65,506.21999999999997,2826.29,2389.72,3559.98,44.54,23.61,14.64,0.0,1.9800000000000002,233
PHI,679.06,685.82,610.52,4055.4,2990.7,4708.12,47.38,25.35,30.59,16.87,0.8200000000000001,269
PIT,1143.81,358.37,616.4399999999999,8393.61,1354.85,5289.29,62.28,2.89,36.2,40.0,2.43,233
SEA,1157.62,682.41,574.18,8515.32,2935.25,4219.62,73.83,24.8,28.44,28.86,2.01,250
SFO,1077.18,1065.56,752.7,7957.24,4322.49,5912.13,49.74,35.98,39.58,40.14,0.97,251
TAM,611.54,577.76,869.93,5009.83,3059.42,7538.99,49.59,12.18,84.8,12.7,1.85,250
TEN,1230.55,421.23,617.36,7029.81,1632.3,3624.66,25.58,5.24,7.82,34.8,3.26,248
WAS,651.44,614.33,654.14,4682.24,3539.48,4479.24,42.81,30.0,33.55,13.27,0.77,250
