name,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_rush_yd,proj_rec_yd,proj_pass_td,proj_rush_td,proj_rec_td,proj_int,proj_fum,team,games_played,fantasy_points
Lamar Jackson,435.67,118.34,0.0,4240.06,1047.98,0.0,46.16,8.36,0.0,3.72,0.54,BAL,18,500.68039999999996
Josh Allen,596.58,155.83,0.0,4636.32,749.17,0.0,31.03,20.32,0.0,6.29,0.0,BUF,18,493.82980000000003
Jayden Daniels,631.5600000000001,169.48,0.0,4517.18,1139.09,0.0,42.81,2.98,0.0,13.27,0.15,WAS,18,456.8762
Daniel Jones,523.6,125.42,0.0,4173.76,534.29,0.0,15.36,27.77,0.0,6.89,0.08,IND,18,434.4994
Baker Mayfield,611.54,49.46,0.0,5009.83,363.76,0.0,49.59,1.46,0.0,12.7,0.8600000000000001,TAM,18,416.7692
Joe Burrow,699.85,36.99,0.0,5412.139999999999,189.78,0.0,44.04,3.01,0.0,5.970000000000001,0.91,CIN,18,415.9236
Jared Goff,698.8,34.9,0.0,5382.28,50.629999999999995,0.0,43.660000000000004,0.0,0.0,6.69,0.22999999999999998,DET,18,381.1542
Patrick Mahomes,694.88,61.33,0.0,4510.9800000000005,476.88,0.0,26.86,7.0200000000000005,0.0,0.0,0.17,KAN,18,377.34720000000004
Sam Darnold,606.76,60.379999999999995,0.0,4762.65,163.8,0.0,42.56,1.24,0.0,8.13,0.5700000000000001,SEA,18,367.166
Derrick Henry,0.0,380.01,23.82,0.0,2332.45,273.37,0.0,15.12,0.0,0.0,0.18,BAL,18,350.942
