name,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_rush_yd,proj_rec_yd,proj_pass_td,proj_rush_td,proj_rec_td,proj_int,proj_fum,team,games_played,fantasy_points
Derrick Henry,0.0,380.01,23.82,0.0,2332.45,273.37,0.0,15.12,0.0,0.0,0.18,BAL,18,350.942
Bijan Robinson,0.0,350.53,75.55,0.0,1563.73,553.72,0.0,17.78,3.54,0.0,0.3,ATL,18,339.06500000000005
Josh Jacobs,0.0,331.31,33.56,0.0,1355.87,361.41,0.0,25.71,0.0,0.0,0.28,GNB,18,325.428
Jonathan Taylor,0.0,421.24,36.64,0.0,2068.03,156.18,0.0,15.19,1.8800000000000001,0.0,0.28,IND,18,324.281
Emeka Egbuka,0.0,16.37,106.53999999999999,0.0,139.41,1177.37,0.0,0.0,31.7,0.0,0.0,TAM,17,321.878
Anthony Richardson,434.84000000000003,156.6,4.49,2691.6,1013.7,-4.38,13.03,15.54,0.0,24.08,0.48,IND,18,304.83600000000007
Drake Maye,614.3,89.33,3.53,4126.67,501.5,6.99,25.1,3.0900000000000003,0.0,14.29,1.5299999999999998,NWE,18,303.21580000000006
Bo Nix,629.29,97.03,0.38,3862.33,343.95,0.73,34.56,0.0,0.35,18.07,0.88,DEN,18,291.4012000000001
Jahmyr Gibbs,0.0,244.8,100.65,0.0,1204.1,706.3,0.0,12.72,3.63,0.0,0.0,DET,18,289.14
Saquon Barkley,0.0,377.7,46.67,0.0,1839.3700000000001,250.8,0.0,12.24,0.44,0.0,0.0,PHI,18,285.097
