,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team
0,A.J. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3,29.299999999999997,401.4,3.2,0.0,9,PHI
1,AJ Barner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,7.6,54.099999999999994,1.5,0.0,7,SEA
2,Aaron Jones,0.0,0.0,0.0,0.0,0.0,0.0,81.0,348.2,2.0,19.8,14.799999999999999,101.3,0.6,2.0999999999999996,9,MIN
3,Aaron Rodgers,101.3,159.0,1083.0,6.6,2.6,11.5,7.5,47.599999999999994,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,8,PIT
4,Adam Thielen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,26.1,348.8,3.5,0.0,6,MIN
5,Adam Trautman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.5,38.0,0.8,0.0,8,DEN
6,Adonai Mitchell,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-7.2,0.0,13.6,5.799999999999999,98.29999999999998,0.0,1.1,8,IND
7,Aidan O'Connell,63.1,103.5,750.1,3.2,0.7,5.3,14.099999999999998,14.0,0.7,0.0,0.0,0.0,0.0,1.2999999999999998,4,LVR
8,Alec Ingold,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.6,0.0,1.2,1.2,9.0,0.0,0.0,2,MIA
9,Alec Pierce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,10.7,213.2,1.9,0.0,7,IND
10,Alexander Mattison,0.0,0.0,0.0,0.0,0.0,0.0,30.200000000000003,87.9,0.9,13.7,7.4,54.5,0.0,0.8,5,MIA
11,Allen Lazard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,3.5,39.6,0.0,0.0,4,NYJ
