,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op
0,ARI,128.3,185.7,1278.8,4.199999999999999,6.0,12.1,131.79999999999998,717.1,4.8999999999999995,176.29999999999998,128.3,1278.8,4.199999999999999,3.6999999999999997,98.89999999999999,147.6,1012.6,5.0,1.3,11.9,126.49999999999999,613.5,5.9,137.4,98.9,1012.6,5.0,4.5,"['NWE', 'CAR', 'SEA', 'CHI', 'SEA', 'MIN', 'LAR', 'NYJ']",8,CAR
1,ATL,93.19999999999999,150.79999999999998,1097.2,2.4,7.199999999999999,8.6,155.4,649.1999999999999,6.6,147.39999999999998,93.19999999999999,1097.1999999999998,2.4,6.699999999999999,110.0,167.0,1168.3999999999999,10.8,4.4,17.7,115.0,520.8,2.0999999999999996,158.2,110.0,1168.4,10.799999999999999,4.8,"['LAC', 'MIN', 'NOR', 'NYG', 'DAL', 'DEN', 'LVR', 'WAS']",8,MIN
2,BAL,80.2,117.19999999999999,1058.8,13.1,1.2999999999999998,7.6000000000000005,161.6,895.3,4.1,113.19999999999999,80.2,1058.8,13.1,4.699999999999999,95.89999999999999,158.7,973.3,4.6,3.3,16.6,108.8,420.70000000000005,3.3,145.4,95.89999999999999,973.3,4.6,5.4,"['HOU', 'NYG', 'LAC', 'DEN', 'PIT', 'CIN', 'PIT', 'PHI']",8,CLE
3,BUF,96.0,152.9,1245.6,9.799999999999999,2.0999999999999996,1.6999999999999997,146.6,714.4,11.799999999999999,145.9,96.0,1245.6,9.799999999999999,1.8,117.89999999999999,172.7,1311.7,11.399999999999999,4.6,11.6,125.19999999999999,548.8,4.6,161.6,117.89999999999999,1311.6999999999998,11.399999999999999,9.8,"['IND', 'KAN', 'DET', 'NYJ', 'NWE', 'LAR', 'MIA', 'SFO']",8,NYJ
4,CAR,92.6,155.4,1036.4,6.9,2.5,15.3,119.29999999999998,550.0,6.0,141.7,92.6,1036.4,6.9,5.0,106.1,155.1,1170.3,12.0,2.6999999999999997,14.0,174.6,1016.0999999999999,3.9,147.39999999999998,106.1,1170.3,12.0,5.5,"['KAN', 'NYG', 'ARI', 'TAM', 'TAM', 'PHI', 'DAL', 'NOR']",8,ARI
5,CHI,113.6,183.39999999999998,1172.8,6.8,1.0,24.9,120.39999999999999,487.2,1.2999999999999998,173.39999999999998,113.6,1172.8,6.8,5.9,107.3,158.2,1369.7,7.800000000000001,2.1999999999999997,10.2,161.39999999999998,742.9,6.5,150.7,107.3,1369.7,7.800000000000001,4.5,"['SFO', 'DET', 'NWE', 'ARI', 'DET', 'MIN', 'GNB', 'SEA', 'MIN']",9,DET
6,CIN,147.2,203.79999999999998,1620.3,15.399999999999999,3.1,17.5,111.89999999999999,492.5,2.7,196.5,147.2,1620.3,15.399999999999999,5.5,112.3,167.4,1220.6,10.0,7.300000000000001,12.399999999999999,124.2,601.5,4.4,161.0,112.3,1220.6,10.0,6.2,"['DEN', 'TEN', 'CLE', 'LAC', 'PIT', 'LVR', 'DAL', 'BAL']",8,JAX
7,CLE,121.39999999999999,209.79999999999998,1203.6,4.8,10.299999999999999,16.299999999999997,124.0,562.0999999999999,3.2,197.3,121.39999999999999,1203.6,4.8,6.8,103.69999999999999,155.7,1179.8,9.0,1.5999999999999999,11.9,147.7,596.4,5.8,143.9,103.69999999999999,1179.8,9.0,3.9,"['MIA', 'KAN', 'CIN', 'NOR', 'LAC', 'DEN', 'PIT', 'PIT']",8,BAL
8,DAL,114.1,184.1,1163.2,8.1,3.4,8.799999999999999,149.3,633.6999999999999,1.5,180.29999999999998,114.1,1163.2,8.1,8.0,121.8,174.1,1356.8,9.9,5.5,17.7,141.29999999999998,674.0,6.3999999999999995,168.6,121.79999999999998,1356.8,9.9,7.5,"['PHI', 'NYG', 'PHI', 'WAS', 'HOU', 'ATL', 'CIN', 'CAR', 'TAM']",9,NYG
9,DEN,111.19999999999999,164.4,1104.9,11.2,4.800000000000001,6.8999999999999995,117.4,464.5,2.5,157.6,111.19999999999999,1104.8999999999999,11.2,3.5999999999999996,128.79999999999998,197.4,1482.0,8.6,5.2,17.7,121.5,482.70000000000005,4.0,189.4,128.8,1482.0,8.6,6.1000000000000005,"['CIN', 'LAC', 'KAN', 'BAL', 'IND', 'CLE', 'LVR', 'ATL']",8,IND
10,DET,144.0,203.7,1746.4,15.399999999999999,2.1999999999999993,8.9,167.1,719.0999999999999,7.6,191.7,144.0,1746.4,15.399999999999999,3.0,114.8,183.89999999999998,1565.4,9.2,3.1999999999999997,9.1,116.6,510.59999999999997,7.8,170.5,114.8,1565.4,9.2,7.3,"['CHI', 'HOU', 'GNB', 'BUF', 'JAX', 'IND', 'CHI', 'SFO', 'GNB']",9,CHI
